japanese,english
よく,often
息子(むすこ),son
入(いり)口(ぐち),entrance
喫(きつ)煙(えん),smoking
お兄(にい)さん,older brother
あんまり,"not that much, not that often"
切(きっ)符(ぷ),ticket (esp. train)
コインロッカー,coin locker
グリーン席(せき),green seat (first class)
娘(むすめ),daughter
次(つぎ),next
主(しゅ)人(じん),one’s own husband
ビル,building
従姉妹(いとこ),female cousin
お姉(ねえ)さん,older sister
出(で)口(ぐち),exit
弟(おとうと),younger brother
禁(きん)煙(えん),no smoking
奥(おく)さん,another’s wife (or own wife)
シルバーシート,silver seat (elderly seat)
家(か)内(ない),one’s own wife
自(じ)由(ゆう)席(せき),open seating
職(しょく)場(ば),place of work
伯父(おじ)さん,uncle
伯母(おば)さん,aunt
片(かた)道(みち),one way
従兄弟(いとこ),male cousin
切(きっ)符(ぷ)売(うり)場(ば),ticket sales booth
お子(こ)さん,another’s children; kid
誰(だれ)も,nobody
往(おう)復(ふく),round trip
指(し)定(てい)席(せき),reserved seating
一人(ひとり)っ子(こ),only child
ご主(しゅ)人(じん),another’s husband
妹(いもうと),younger sister
案(あん)内(ない)所(じょ),information booth
