japanese,english
いくら,how much?
山(やま),mountain
を,object particle
いらっしゃいませ,welcome (to a business)
雨(あめ),rain
太(たい)陽(よう),sun
メニュー,menu
お釣(つり),change (money)
少(しょう)々(しょう)、お待(ま)ち下(くだ)さい,Please wait a moment. (very polite)
綺麗(きれい),"pretty, beautiful"
月(つき),moon
チーズバーガー,cheeseburger
雪(ゆき),snow
味(み)噌(そ)汁(しる),miso soup
春(はる),spring
何(なに)がいいですか,What would you like?
スパゲティ,spaghetti
お冷(ひや),cold drinking water
卒業(そつぎょう),graduate
夏(なつ),summer
ビーフ,beef
も,"inclusion particle; too, also"
どうぞ,Here you go. / Go ahead.
ステーキ,steak
秋(あき),autumn; fall
デザート,dessert
お菓(か)子(し),a snack
ピザ,pizza
サンドイッチ,sandwich
冬(ふゆ),winter
ちょっと、待(ま)って下(くだ)さい。,Wait a minute. (informal)
