japanese,english
いくつ,how many? (objects)
北(きた),north
右(みぎ),right
傘(かさ),umbrella
一(ひと)つ,1 (object)
上(うえ),up
電(でん)話(わ),telephone
東(ひがし),east
二(ふた)つ,2 (objects)
左(ひだり),left
トイレ,toilet
三(みっ)つ,3 (objects)
〇〇個(こ),small / round object counter
西(にし),west
四(よっ)つ,4 (objects)
鍵(かぎ),key
五(いつ)つ,5 (objects)
カレンダー,calendar
下(した),down
〇〇本(ほ・ぼ・ぽん),long / cylindrical object counter
はさみ,scissors
六(むっ)つ,6 (objects)
ごみ箱(ばこ),trash can
旗(はた),flag
七(なな)つ,7 (objects)
紙(かみ),paper
南(みなみ),south
八(やっ)つ,8 (objects)
チケット,tickets
〇〇枚(まい),thin / flat object counter
椅子(いす),chair
九(ここの)つ,9 (objects)
花(はな),flowers
とお,10 (objects)
