japanese,english
行(い)く,to go
何(なに)人(じん),what nationality?
〜市(し),〜 City
帰(かえ)る,"to return, to go home"
銀(ぎん)行(こう),bank
ごきぶり,cockroach
ノートパソコン,laptop computer
カリフォルニア,California
ロサンゼルス,Los Angeles
来(く)る,to come
音(おん)楽(がく),music
お手(て)洗(あら)い,restroom
〜県(けん),〜 Prefecture
ラスベガス,Las Vegas
蝿(はえ),house fly
服(ふく),clothing; clothes
中(ちゅう)国(ごく),China
お久(ひさ)しぶりです。,It has been a long time.
後(あと),"more, in addition"
〜州(しゅう),〜 State
パソコン,PC (computer)
名(めい)刺(し),business card
蟻(あり),ant
韓(かん)国(こく),Korea
コーヒー,coffee
何(なに)語(ご),what language?
眼鏡(めがね),glasses
辞(じ)書(しょ),dictionary
シカゴ,Chicago
大(おお)阪(さか),Osaka
