japanese,english
聞(き)く,"to listen, to hear"
よく,often
読(よ)む,to read
野(や)球(きゅう),baseball
飲(の)む,to drink
毎(まい)日(にち),every day
弁(べん)当(とう),bento (Japanese lunch box)
食(た)べる,to eat
晩(ばん),evening
時(とき)々(どき),sometimes
朝(あさ)ご飯(はん),breakfast
賢(かしこ),"wise, clever, smart"
兄(あに),older brother
