japanese,english
妹(いもうと),younger sister
出身(しゅっしん),one's origin
夫(おっと),husband
姉(あね),older sister
賑(にぎ)やか,lively
息子(むすこ),son
げっぷ,burp
弟(おとうと),younger brother
