japanese,english
曜(よう)日(び),day of the week
何(なん)曜(よう)日(び),what day of the week?
卵(たまご),egg
年(ねん),year
何(なん)年(ねん),what year?
今年(ことし),this year
今(いま),now
月(げつ)曜(よう)日(び),Monday
パン,bread
牛乳(ぎゅうにゅう),milk
週(しゅう),week
今(こん)週(しゅう),this week
栗(くり),chestnut
火(か)曜(よう)日(び),Tuesday
ジュース,juice
先(せん)月(げつ),last month
ケーキ,cake
塩(しお),salt
一昨日(おととい),day before yesterday
来(らい)年(ねん),next year
アイスクリーム,ice cream
水(すい)曜(よう)日(び),Wednesday
トマト,tomato
明後日(あさって),day after tomorrow
大(だい)根(こん),radish
先(せん)週(しゅう),last week
木(もく)曜(よう)日(び),Thursday
玉(たま)ねぎ,onion
今(こん)月(げつ),this month
胡椒(こしょう),pepper
海老(えび),shrimp
金(きん)曜(よう)日(び),Friday
肉(にく),meat
去(きょ)年(ねん),last year
パーティー,party
ポテト,potato
土(ど)曜(よう)日(び),Saturday
来(らい)週(しゅう),next week
元(がん)旦(たん),New Year’s Day
生(せい)年(ねん)月(がっ)日(ぴ),date of birth
日(にち)曜(よう)日(び),Sunday
来(らい)月(げつ),next month
何(なん)年(ねん)生(う)まれですか,In what year were you born?
〇〇年(ねん)生(う)まれです,I was born in the year 〇〇
