japanese,english
一日(ついたち),1st (day of the month)
いつ,when?
今日(きょう),today
一(いち)月(がつ),January
お腹(なか),stomach
空(す)いて,to be empty
お腹(なか)が空(す)いています,I'm hungry (literally: my stomach is empty)
二日(ふつか),2nd (day of the month)
緑(りょく)茶(ちゃ),green tea leaves
明日(あした),tomorrow
二(に)月(がつ),February
何(なん)日(にち),what day of the month?
亀(かめ),tortoise; turtle
三(みっ)日(か),3rd (day of the month)
いっぱい,full
お腹(なか)がいっぱいです,I'm full (literally: my stomach is full)
三(さん)月(がつ),March
抹(まっ)茶(ちゃ),powdered green tea
何(なん)月(がつ),what month?
おめでとう,"congratulations, well wishes"
四(よっ)日(か),4th (day of the month)
喉(のど),throat
昨日(きのう),yesterday
四(し)月(がつ),April
渇(かわ)いて,"dry, thirsty"
喉(のど)が渇(かわ)いています,I'm thirsty (literally: my throat is dry)
豚(ぶた),pig
五日(いつか),5th (day of the month)
クリスマス,Christmas
誕(たん)生(じょう)日(び),birthday
ほうじ茶(ちゃ),roasted green tea
五(ご)月(がつ),May
鳩(はと),pigeon; dove
誕(たん)生(じょう)日(び)おめでとう。,Happy Birthday
独(どく)立(りつ)記(き)念(ねん)日(び),Independence Day
六日(むいか),6th (day of the month)
あひる,duck
明(あ)けまし,"New Year (lit: dawn, begin)"
六(ろく)月(がつ),June
蟹(かに),crab
プレゼント,present; gift
七日(なのか),7th (day of the month)
明(あ)けましておめでとう,Happy New Year
蛇(へび),snake
七(しち)月(がつ),July
ゴールデンウィーク,Golden Week
紅(こう)茶(ちゃ),black tea
八(よう)日(か),8th (day of the month)
ロブスター,lobster
ウーロン茶(ちゃ),oolong tea
八(はち)月(がつ),August
憲(けん)法(ぽう)記(き)念(ねん)日(び),Constitution Day
とかげ,lizard
九日(ここのか),9th (day of the month)
麦(むぎ)茶(ちゃ),barley tea
子(こ)供(ども)の日(ひ),Children's Day
九(く)月(がつ),September
恐(きょう)竜(りゅう),dinosaur
文(ぶん)化(か)の日(ひ),Culture Day
十日(とおか),10th (day of the month)
体(たい)育(いく)の日(ひ),Sports Day
蛙(かえる),frog
十(じゅう)月(がつ),October
金(きん)魚(ぎょ),goldfish
十(じゅう)四日(よっか),14th (day of the month)
十(じゅう)一(いち)月(がつ),November
二十日(はつか),20th (day of the month)
十(じゅう)二(に)月(がつ),December
二(に)十(じゅう)四日(よっか),24th (day of the month)
