japanese,english
まで,to (a place)
伝(でん)票(ぴょう),"receipt, sales slip"
修(しゅう)理(り),repair
辞(や)める,"to quit, stop (doing sth), resign"
待(ま)つ,to wait
見(み)る,"to look, watch, see"
毎(まい),"every, each"
週(しゅう),week
週末(しゅうまつ),weekend
電車(でんしゃ),train
