japanese,english
甘(あま)い,sweet
苺(いちご),strawberry
サッカー,soccer
新(あたら)しい,new
円(えん),yen
みかん,orange (fruit)
バスケットボール,basketball
寒(さむ)い,cold
西(す)瓜(いか),watermelon
ギャンブル,gambling
勿(もち)論(ろん),of course
古(ふる)い,old
レモン,lemon
食(た)べ物(もの),food
桃(もも),peach
欲(ほ)しい,want
ドル,dollars
暑(あつ)い,hot
葡(ぶ)萄(どう),grape
インターネット,internet
お金(かね),money
冷(つめ)たい,cold to the touch
コーラ,cola
君(くん),friendly suffix (male)
結(けっ)構(こう)です,I'm fine / no thanks
温(ぬる)い,warm; lukewarm
飲(の)み物(もの),a drink; drinks
