japanese,english
面(おも)白(しろ)い,"funny, interesting"
今(こん)度(ど),next time
会(かい)議(ぎ),a meeting
社(しゃ)長(ちょう),president (company)
消(け)しゴム,eraser
とても,very
どの〜,which [item]
コピー機(き),copy machine
その〜,that [item]
プリンター,printer
この〜,this [item]
小(こ)切(ぎっ)手(て),a check (bank)
会(かい)社(しゃ),company
定(じょう)規(ぎ),ruler
あの〜,that [item] over there
一(いっ)緒(しょ)に,together
給(きゅう)料(りょう),salary
行(い)きましょう,let's go
駅(えき),train station
ホッチキス,stapler
