japanese,english
何(なん)人(にん)*,how many? (people)
チーズ,cheese
茄(な)子(す),eggplant
病(びょう)気(き),sick; sickness
一人(ひとり),1 person
ピーナッツ,peanuts
バター,butter
何(なん)匹(びき),"how many? (small animals, etc.)"
可哀(かわい)そうです,"what a shame, what a pity"
子(こ)供(ども),child; children
二人(ふたり),2 people
南瓜(かぼちゃ),pumpkin
一(いっ)匹(ぴき),1 animal
そして,And (beginning of sentences)
コーン,corn
二(に)匹(ひき),2 animals
病(びょう)院(いん),hospital
メロン,melon
四(よ)人(にん),4 people
兄(きょう)弟(だい),brothers and sisters; siblings
梨(なし),pear
三(さん)匹(びき),3 animals
キャベツ,cabbage
アーモンド,almonds
四(よん)匹(ひき),4 animals
動(どう)物(ぶつ)病(びょう)院(いん),pet hospital
ハム,ham
五(ご)匹(ひき),5 animals
お客(きゃく)様(さま),a customer or guest
グレープフルーツ,grapefruit
六(ろっ)匹(ぴき),6 animals
ほうれん草(そう),spinach
七(なな)匹(ひき),7 animals
セロリ,celery
ペット,a pet
八(はっ)匹(ぴき),8 animals
駄(だ)目(め),"not okay, no good"
七(しち)面(めん)鳥(ちょう),turkey
九(きゅう)匹(ひき),9 animals
生(せい)徒(と),student (young)
サラダ,salad
十(じゅっ)匹(ぴき),10 animals
スープ,soup
家(か)族(ぞく),family
十(じゅう)一(いっ)匹(ぴき),11 animals
ベーコン,bacon
きゅうり,cucumber
十(じゅう)二(に)匹(ひき),12 animals
