japanese,english
書(か)く,to write
まだ,not yet
手(て)紙(がみ),letter
出(しゅっ)発(ぱつ),departure
読(よ)む,to read
スーツケース,suitcase
航(こう)空(くう)券(けん),airline ticket
大人(おとな),adult
小(しょう)説(せつ),novel
エコノミークラス,economy class
交(こう)差(さ)点(てん),intersection
歩(ほ)道(どう),sidewalk
ゲート,gate (at airport)
信(しん)号(ごう),traffic signal
搭(とう)乗(じょう)券(けん),boarding pass
交(こう)通(つう)事(じ)故(こ),traffic accident
免(めん)税(ぜい),duty-free
クラクション,horn
横(おう)断(だん)歩(ほ)道(どう),crosswalk
欠(けっ)航(こう),cancelled flight
荷(に)物(もつ),luggage
ファーストクラス,first class
通(つう)路(ろ)席(せき),aisle seat
遊(ゆう)園(えん)地(ち),amusement park
国(こく)内(ない)線(せん),domestic flight
乗(の)り換(か)え,"changing of plane, train"
窓(まど)側(がわ)席(せき),window seat
航(こう)空(くう)会(がい)社(しゃ),airline company
搭(とう)乗(じょう)時(じ)間(かん),boarding time
空(くう)港(こう)税(ぜい),airport tax
パスポート,passport
制(せい)限(げん)速(そく)度(ど),speed limit
到(とう)着(ちゃく),arrival
国(こく)際(さい)線(せん),international flight
～頃(ごろ),about/around (time)
